index,entity,supplier,ml_score,composite_score,tier,flags,shap_top3,legal_citations,fraud_label
13,GNPC,Unknown,27.3,22.9,🟢 MONITOR,"['Supplier holds 44.4% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)']","['entity_frequency increases fraud risk (impact: 1.544)', 'supplier_frequency decreases fraud risk (impact: 1.237)', 'supplier_risk_score decreases fraud risk (impact: 1.203)']",['S.3 Act 663 (Transparency and Accountability)'],0
14,Bulk Oil Storage and Transportation Company Limited (BOST),Messrs. Predictive Excellence,1.0,12.4,🟢 MONITOR,"['1 variation(s) independently flagged by Auditor-General', '1 sole source contract(s) flagged by Auditor-General', '3 of 15 contracts confirmed fraudulent (20% fraud rate)', '33% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 4.166)', 'entity_frequency decreases fraud risk (impact: 0.880)', 'supplier_frequency decreases fraud risk (impact: 0.848)']",['No specific violations flagged'],0
15,University of Ghana (UG),Unknown,1.0,15.4,🟢 MONITOR,"['Supplier holds 55.6% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '66% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 2.22 — entity under sustained scrutiny']","['entity_frequency decreases fraud risk (impact: 2.107)', 'supplier_risk_score decreases fraud risk (impact: 1.731)', 'variation_abuse_rate decreases fraud risk (impact: 0.385)']","['S.92-93 Act 663 (Procurement Offences)', 'S.3 Act 663 (Transparency and Accountability)']",0
16,Bulk Oil Storage and Transportation Company Limited (BOST),Messrs IQI Energy Services Ltd,1.0,12.4,🟢 MONITOR,"['1 variation(s) independently flagged by Auditor-General', '1 sole source contract(s) flagged by Auditor-General', '3 of 15 contracts confirmed fraudulent (20% fraud rate)', '33% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 4.166)', 'entity_frequency decreases fraud risk (impact: 0.880)', 'supplier_frequency decreases fraud risk (impact: 0.848)']",['No specific violations flagged'],0
17,Ghana Maritime Authority,Zeni Lite Bouy ltd,0.8,4.8,🟢 MONITOR,"['Supplier holds 50.0% of entity awards — concentration risk', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 4.182)', 'award_concentration decreases fraud risk (impact: 0.556)', 'method_abuse_score decreases fraud risk (impact: 0.548)']",['S.3 Act 663 (Transparency and Accountability)'],0
18,PSC Tema Shipyard,Emadam Inspection & Engineering Limited,0.9,4.9,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 3.892)', 'award_concentration decreases fraud risk (impact: 1.572)', 'entity_frequency increases fraud risk (impact: 0.906)']",['S.3 Act 663 (Transparency and Accountability)'],0
19,University of Ghana (UG),Unknown,1.0,15.4,🟢 MONITOR,"['Supplier holds 55.6% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '66% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 2.22 — entity under sustained scrutiny']","['entity_frequency decreases fraud risk (impact: 2.107)', 'supplier_risk_score decreases fraud risk (impact: 1.731)', 'variation_abuse_rate decreases fraud risk (impact: 0.385)']","['S.92-93 Act 663 (Procurement Offences)', 'S.3 Act 663 (Transparency and Accountability)']",0
20,Ghana Cocoa Board,Unknown,4.8,15.4,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.253)', 'supplier_risk_score decreases fraud risk (impact: 1.696)', 'entity_frequency increases fraud risk (impact: 1.105)']",['S.3 Act 663 (Transparency and Accountability)'],0
21,Electoral Commission,Messr. Kingdom Books & Stationery Limited,0.8,4.8,🟢 MONITOR,"['Supplier holds 50.0% of entity awards — concentration risk', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 4.182)', 'award_concentration decreases fraud risk (impact: 0.556)', 'method_abuse_score decreases fraud risk (impact: 0.548)']",['S.3 Act 663 (Transparency and Accountability)'],0
22,Bulk Oil Storage and Transportation Company Limited (BOST),Messrs. Dansworld International Services Limited,1.0,12.4,🟢 MONITOR,"['1 variation(s) independently flagged by Auditor-General', '1 sole source contract(s) flagged by Auditor-General', '3 of 15 contracts confirmed fraudulent (20% fraud rate)', '33% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 4.166)', 'entity_frequency decreases fraud risk (impact: 0.880)', 'supplier_frequency decreases fraud risk (impact: 0.848)']",['No specific violations flagged'],0
23,Bulk Oil Storage and Transportation Company Limited (BOST),Messrs. Ruthy K. Medical Laboratory Limited,1.0,12.4,🟢 MONITOR,"['1 variation(s) independently flagged by Auditor-General', '1 sole source contract(s) flagged by Auditor-General', '3 of 15 contracts confirmed fraudulent (20% fraud rate)', '33% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 4.166)', 'entity_frequency decreases fraud risk (impact: 0.880)', 'supplier_frequency decreases fraud risk (impact: 0.848)']",['No specific violations flagged'],0
24,Social Security and National Insurance Trust (SSNIT),Messrs. Klogg Ghana Limited,0.2,0.1,🟢 MONITOR,['No specific flags raised'],"['supplier_risk_score decreases fraud risk (impact: 4.069)', 'entity_frequency decreases fraud risk (impact: 1.084)', 'supplier_frequency decreases fraud risk (impact: 0.848)']",['No specific violations flagged'],0
25,Ministry of Finance (MoF),Unknown,3.4,25.9,🟢 MONITOR,"['Supplier holds 46.2% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '1 variation(s) independently flagged by Auditor-General', '1 sole source contract(s) flagged by Auditor-General', '2 of 13 contracts confirmed fraudulent (15% fraud rate)', '84% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 15.23 — entity under sustained scrutiny']","['supplier_risk_score decreases fraud risk (impact: 1.714)', 'entity_frequency decreases fraud risk (impact: 1.570)', 'audit_intensity decreases fraud risk (impact: 0.322)']","['S.92-93 Act 663 (Procurement Offences)', 'S.3 Act 663 (Transparency and Accountability)']",0
26,Ministry of Finance (MoF),Messrs. Omnia Strategy LLP,0.5,15.7,🟢 MONITOR,"['Supplier appears in 1 Auditor-General finding(s)', '1 variation(s) independently flagged by Auditor-General', '1 sole source contract(s) flagged by Auditor-General', '2 of 13 contracts confirmed fraudulent (15% fraud rate)', '84% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 15.23 — entity under sustained scrutiny']","['supplier_risk_score decreases fraud risk (impact: 4.146)', 'entity_frequency decreases fraud risk (impact: 0.854)', 'supplier_frequency decreases fraud risk (impact: 0.671)']",['S.92-93 Act 663 (Procurement Offences)'],0
27,Accra Technical University,Unknown,4.8,15.4,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.253)', 'supplier_risk_score decreases fraud risk (impact: 1.696)', 'entity_frequency increases fraud risk (impact: 1.105)']",['S.3 Act 663 (Transparency and Accountability)'],0
28,Korle-Bu Teaching Hospital,Unknown,4.8,15.4,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.253)', 'supplier_risk_score decreases fraud risk (impact: 1.696)', 'entity_frequency increases fraud risk (impact: 1.105)']",['S.3 Act 663 (Transparency and Accountability)'],0
29,Ministry of Education,EPP Books Services,98.3,51.8,🔴 ESCALATE,"['Supplier holds 50.0% of entity awards — concentration risk', 'Supplier linked to 1 confirmed fraud case(s)', '1 of 2 contracts confirmed fraudulent (50% fraud rate)']","['supplier_risk_score increases fraud risk (impact: 4.834)', 'award_concentration decreases fraud risk (impact: 0.589)', 'method_abuse_score decreases fraud risk (impact: 0.489)']",['S.3 Act 663 (Transparency and Accountability)'],1
30,Ghana Revenue Authority (GRA),Unknown,14.4,20.8,🟢 MONITOR,"['Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '1 sole source contract(s) flagged by Auditor-General', '80% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 12.80 — entity under sustained scrutiny']","['supplier_risk_score decreases fraud risk (impact: 1.562)', 'award_concentration increases fraud risk (impact: 1.086)', 'entity_frequency decreases fraud risk (impact: 1.067)']",['S.92-93 Act 663 (Procurement Offences)'],0
31,Ministry of Railways Development,Unknown,4.8,15.4,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.253)', 'supplier_risk_score decreases fraud risk (impact: 1.696)', 'entity_frequency increases fraud risk (impact: 1.105)']",['S.3 Act 663 (Transparency and Accountability)'],0
32,National Sports Authority (NSA),Haramani Ventures,0.9,4.9,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 3.892)', 'award_concentration decreases fraud risk (impact: 1.572)', 'entity_frequency increases fraud risk (impact: 0.906)']",['S.3 Act 663 (Transparency and Accountability)'],0
33,Ministry of Health,SL Global Limited & Messrs,0.5,1.7,🟢 MONITOR,['80% repeat supplier rate — limited supplier diversity (S.3 Act 663)'],"['supplier_risk_score decreases fraud risk (impact: 4.239)', 'supplier_frequency decreases fraud risk (impact: 0.885)', 'entity_frequency decreases fraud risk (impact: 0.777)']",['No specific violations flagged'],0
34,Ministry of National Security,Unknown,4.8,15.4,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.253)', 'supplier_risk_score decreases fraud risk (impact: 1.696)', 'entity_frequency increases fraud risk (impact: 1.105)']",['S.3 Act 663 (Transparency and Accountability)'],0
35,Social Security and National Insurance Trust (SSNIT),Messrs. Delta AVR Ghana Limited,0.2,0.1,🟢 MONITOR,['No specific flags raised'],"['supplier_risk_score decreases fraud risk (impact: 4.069)', 'entity_frequency decreases fraud risk (impact: 1.084)', 'supplier_frequency decreases fraud risk (impact: 0.848)']",['No specific violations flagged'],0
36,Institute of Local Government Studies,Unknown,4.8,15.4,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.253)', 'supplier_risk_score decreases fraud risk (impact: 1.696)', 'entity_frequency increases fraud risk (impact: 1.105)']",['S.3 Act 663 (Transparency and Accountability)'],0
37,Bank of Ghana,Unknown,1.0,18.4,🟢 MONITOR,"['Supplier holds 60.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '1 sole source contract(s) flagged by Auditor-General', '100% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 35.00 — entity under sustained scrutiny']","['entity_frequency decreases fraud risk (impact: 1.928)', 'supplier_risk_score decreases fraud risk (impact: 1.722)', 'award_concentration decreases fraud risk (impact: 0.531)']","['S.92-93 Act 663 (Procurement Offences)', 'S.3 Act 663 (Transparency and Accountability)']",0
38,Bank of Ghana,Messrs. Ernest and Young,0.5,9.2,🟢 MONITOR,"['Supplier appears in 1 Auditor-General finding(s)', '1 sole source contract(s) flagged by Auditor-General', '100% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 35.00 — entity under sustained scrutiny']","['supplier_risk_score decreases fraud risk (impact: 4.219)', 'entity_frequency decreases fraud risk (impact: 0.774)', 'supplier_frequency decreases fraud risk (impact: 0.707)']",['S.92-93 Act 663 (Procurement Offences)'],0
39,GIFEC,Messrs. Ascend Digital Solutions Ltd,0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
40,Ghana Airport Company Ltd,Messrs. Mapa Construction and Trading Company Inc.,0.8,3.3,🟢 MONITOR,['Supplier holds 33.3% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 4.267)', 'award_concentration increases fraud risk (impact: 1.046)', 'supplier_frequency decreases fraud risk (impact: 0.925)']",['S.3 Act 663 (Transparency and Accountability)'],0
41,Volta Lake Transport Company Ltd,Unknown,4.8,15.4,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.253)', 'supplier_risk_score decreases fraud risk (impact: 1.696)', 'entity_frequency increases fraud risk (impact: 1.105)']",['S.3 Act 663 (Transparency and Accountability)'],0
42,Ministry of Employment and Labour,Messrs. Victor Randolph Architects as Consultants,0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
43,Volta River Authority,Messrs. WSP UK Ltd,0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
44,Ghana Export Promotion Authority (GEPA),Messrs. Yaw Pare Photography,0.3,5.6,🟢 MONITOR,"['33% sole source rate — above acceptable threshold (S.40-41 Act 663)', '1 of 6 contracts confirmed fraudulent (16% fraud rate)']","['supplier_risk_score decreases fraud risk (impact: 4.172)', 'entity_frequency decreases fraud risk (impact: 1.072)', 'supplier_frequency decreases fraud risk (impact: 0.827)']",['No specific violations flagged'],0
45,Ministry of Health,Unknown,1.6,14.1,🟢 MONITOR,"['Supplier holds 60.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '80% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['entity_frequency decreases fraud risk (impact: 1.930)', 'supplier_risk_score decreases fraud risk (impact: 1.680)', 'award_concentration decreases fraud risk (impact: 0.487)']",['S.3 Act 663 (Transparency and Accountability)'],0
46,Ghana Railways Company Ltd,Unknown,4.8,15.4,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.253)', 'supplier_risk_score decreases fraud risk (impact: 1.696)', 'entity_frequency increases fraud risk (impact: 1.105)']",['S.3 Act 663 (Transparency and Accountability)'],0
47,Ghana Railway Company Ltd,Unknown,4.8,15.4,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.253)', 'supplier_risk_score decreases fraud risk (impact: 1.696)', 'entity_frequency increases fraud risk (impact: 1.105)']",['S.3 Act 663 (Transparency and Accountability)'],0
48,Electoral Commission,Unknown,25.4,23.7,🟢 MONITOR,"['Supplier holds 50.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 1.130)', 'entity_frequency increases fraud risk (impact: 0.876)', 'method_abuse_score decreases fraud risk (impact: 0.667)']",['S.3 Act 663 (Transparency and Accountability)'],0
49,Bulk Oil Storage and Transportation Company Limited (BOST),Messrs. Africone Engineering Services Limited,2.6,13.0,🟢 MONITOR,"['1 variation(s) independently flagged by Auditor-General', '1 sole source contract(s) flagged by Auditor-General', '3 of 15 contracts confirmed fraudulent (20% fraud rate)', '33% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 4.077)', 'entity_frequency decreases fraud risk (impact: 1.085)', 'award_concentration increases fraud risk (impact: 0.654)']",['No specific violations flagged'],0
50,Korle Bu Teaching Hospital (KBTH),Life Care Technology Limited and Paracelsus Pharmacy and Marketing Company Ltd,1.1,5.4,🟢 MONITOR,"['42% sole source rate — above acceptable threshold (S.40-41 Act 663)', 'Entity method abuse score: 0.43 — pattern of procurement rule circumvention', '85% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 4.138)', 'entity_frequency decreases fraud risk (impact: 1.198)', 'award_concentration increases fraud risk (impact: 0.693)']",['S.40-41 Act 663 (Procurement Method Abuse)'],0
51,Ghana Railways Development Authority,Unknown,25.4,23.7,🟢 MONITOR,"['Supplier holds 50.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 1.130)', 'entity_frequency increases fraud risk (impact: 0.876)', 'method_abuse_score decreases fraud risk (impact: 0.667)']",['S.3 Act 663 (Transparency and Accountability)'],0
52,Ghana Railways Development Authority,Meinergy Technology Limited,0.8,4.8,🟢 MONITOR,"['Supplier holds 50.0% of entity awards — concentration risk', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 4.182)', 'award_concentration decreases fraud risk (impact: 0.556)', 'method_abuse_score decreases fraud risk (impact: 0.548)']",['S.3 Act 663 (Transparency and Accountability)'],0
53,Ministry of Sanitation and Water Resources,Messrs. Tidyup Ghana Limited,0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
54,Ministry of Health,Unknown,1.6,14.1,🟢 MONITOR,"['Supplier holds 60.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '80% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['entity_frequency decreases fraud risk (impact: 1.930)', 'supplier_risk_score decreases fraud risk (impact: 1.680)', 'award_concentration decreases fraud risk (impact: 0.487)']",['S.3 Act 663 (Transparency and Accountability)'],0
55,National Petroleum Authority,Messrs. Rock Africa Limited,0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
56,National Health Insurance Authority (NHIA),Messrs. SIP Consult Limited,0.2,6.8,🟢 MONITOR,"['Supplier holds 50.0% of entity awards — concentration risk', '50% of contracts have variations — inflation risk', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 4.290)', 'supplier_frequency decreases fraud risk (impact: 0.906)', 'award_concentration decreases fraud risk (impact: 0.597)']",['S.3 Act 663 (Transparency and Accountability)'],0
57,Ministry of Local Government and Rural Development (MLRD),Unknown,4.8,15.4,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.253)', 'supplier_risk_score decreases fraud risk (impact: 1.696)', 'entity_frequency increases fraud risk (impact: 1.105)']",['S.3 Act 663 (Transparency and Accountability)'],0
